dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2016-01-02,565.0,320,Cal,0,0,49,30,12,12
2016-01-03,805.0,320,Cal,0,0,73,30,12,12
2016-01-04,791.0,350,Cal,0,0,73,30,14,12
2016-01-05,207.0,350,Cal,0,0,5,30,12,12
2016-01-06,617.0,350,Cal,0,0,54,30,13,12
2016-01-07,306.0,350,Cal,0,0,10,30,13,12
2016-01-08,779.0,350,Cal,0,0,73,30,13,12
2016-01-09,770.0,350,Cal,0,0,82,30,14,12
2016-01-10,677.0,350,Cal,0,0,69,30,12,12
2016-01-11,256.0,380,Cal,0,0,17,30,12,12
2016-01-12,207.0,380,Cal,0,0,8,30,12,12
2016-01-13,706.0,380,Cal,0,0,58,30,16,12
2016-01-14,877.0,380,Cal,0,0,85,30,15,12
2016-01-15,209.0,380,Cal,0,0,7,30,15,12
2016-01-16,290.0,380,Cal,0,0,15,30,14,12
2016-01-17,246.0,380,Cal,0,0,11,30,16,12
2016-01-18,263.0,380,Cal,0,0,10,30,11,12
2016-01-19,308.0,380,Cal,0,0,27,30,14,12
2016-01-20,506.0,380,Cal,0,0,55,30,13,12
2016-01-21,337.0,380,Cal,0,0,33,30,14,12
2016-01-22,261.0,380,Cal,0,0,13,30,13,12
2016-01-23,210.0,380,Cal,0,0,4,30,8,12
2016-01-24,198.0,380,Cal,0,0,9,30,10,12
2016-01-25,242.0,340,Cal,0,0,15,30,11,12
2016-01-26,605.0,340,Cal,0,0,55,30,12,12
2016-01-27,280.0,340,Cal,0,0,21,30,12,12
2016-01-28,365.0,340,Cal,0,0,33,30,15,12
2016-01-29,245.0,340,Cal,0,0,12,30,15,12
2016-01-30,686.0,340,Cal,0,0,65,30,10,12
2016-01-31,259.0,340,Cal,0,0,10,30,12,12
2016-02-01,664.0,300,Cal,0,0,53,30,13,12
2016-02-02,550.0,300,Cal,0,0,54,30,12,12
2016-02-03,261.0,300,Cal,0,0,15,30,12,12
2016-02-04,354.0,300,Cal,0,0,34,30,15,12
2016-02-05,383.0,300,Cal,0,0,33,30,16,12
2016-02-06,392.0,300,Cal,0,0,32,30,15,12
2016-02-07,284.0,300,Cal,0,0,14,30,12,12
